autor;partido;ano;mês;pork;pork1;pork2;pork3;coalizao;constituency;cabeca;cmo;apoio;anos;ideologia1;ideologia2
ABEL MESQUITA JR.;DEM;2016;6;0;0;0;0;1;0,003519303;0;0;0,888888889;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2016;7;0;0;0;0;1;0,003519303;0;0;1;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2016;8;0;0;0;0;1;0,003519303;0;0;0,75;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2016;9;0;0;0;0;1;0,003519303;0;0;0,848994702;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2016;10;0;0;0;0;1;0,003519303;0;0;0,972222222;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2016;11;0;0;0;0;1;0,003519303;0;0;0,857142857;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2016;12;289.513,05;0;0;0;1;0,003519303;0;0;0,777777778;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;1;0;289.513,05;0;0;1;0,003519303;0;0;0,848994702;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;2;0;0;289.513,05;0;1;0,003519303;0;0;1;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;3;0;0;0;289.513,05;1;0,003519303;0;0;0,875;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;4;0;0;0;0;1;0,003519303;0;0;0,894736842;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;5;180.156,45;0;0;0;1;0,003519303;0;0;1;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;6;32.070,18;180.156,45;0;0;1;0,003519303;0;0;1;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;7;9.320,16;32.070,18;180.156,45;0;1;0,003519303;0;0;1;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;8;0;9.320,16;32.070,18;180.156,45;1;0,003519303;0;0;0,875;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;9;0;0;9.320,16;32.070,18;1;0,003519303;0;0;0,666666667;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;10;104.493,93;0;0;9.320,16;1;0,003519303;0;0;0,571428571;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;11;0;104.493,93;0;0;1;0,003519303;0;0;1;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2017;12;895.146,75;0;104.493,93;0;1;0,003519303;0;0;0,666666667;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2018;1;0;895.146,75;0;104.493,93;1;0,003519303;0;0;0,848994702;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2018;2;0;0;895.146,75;0;1;0,003519303;0;0;0,833333333;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2018;3;888.909,83;0;0;895.146,75;1;0,003519303;0;0;1;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2018;4;510.753,85;888.909,83;0;0;1;0,003519303;0;0;0,882352941;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2018;5;708.407,93;510.753,85;888.909,83;0;1;0,003519303;0;0;0,5;4;0,6667;1,82
ABEL MESQUITA JR.;DEM;2018;6;129.424,77;708.407,93;510.753,85;888.909,83;1;0,003519303;0;0;0,666666667;4;0,6667;1,82
ABELARDO LUPION;DEM;2016;6;42.001,44;0;0;0;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2016;7;41.784,13;42.001,44;0;0;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2016;8;0;41.784,13;42.001,44;0;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2016;9;0;0;41.784,13;42.001,44;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2016;10;0;0;0;41.784,13;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2016;11;2.002.001,19;0;0;0;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2016;12;123.785,15;2.002.001,19;0;0;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2017;1;0;123.785,15;2.002.001,19;0;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
ABELARDO LUPION;DEM;2017;2;0;0;123.785,15;2.002.001,19;1;0,008428121;0;0;0,876613117;23;0,6667;1,82
